skill_id	prereq_id	source	type
opensalt.5.ASFUD7	khan.adding_fractions	khan	prerequisite
opensalt.5.ASFUD7	khan.subtracting_fractions	khan	prerequisite
khan.adding-and-subtracting-fractions-with-like-denominators-word-problems	khan.adding_fractions	khan	prerequisite
khan.adding-and-subtracting-fractions-with-like-denominators-word-problems	khan.subtracting_fractions	khan	prerequisite
khan.properties-of-shapes	khan.quadrilateral_types	khan	prerequisite
khan.subtracting-decimals-without-the-standard-algorithm-4	khan.subtracting-decimals-without-the-standard-algorithm-3	khan	prerequisite
khan.adding-decimals-without-the-standard-algorithm-2	khan.adding-decimals-without-the-standard-algorithm-1	khan	prerequisite
khan.multiplying-and-dividing-decimals-by-10	khan.multiplying-and-dividing-by-10	khan	prerequisite
khan.multiplying-and-dividing-decimals-by-10	khan.value-of-a-decimal-digit	khan	prerequisite
khan.writing-and-interpreting-decimals	khan.value-of-a-decimal-digit	khan	prerequisite
khan.regrouping-decimals	khan.value-of-a-decimal-digit	khan	prerequisite
khan.estimating-with-dividing-decimals	khan.division_1.5	khan	prerequisite
khan.visualizing-and-interpreting-relationships-between-patterns	khan.patterns	khan	prerequisite
khan.visualizing-and-interpreting-relationships-between-patterns	khan.graphing_points	khan	prerequisite
khan.visualizing-and-interpreting-relationships-between-patterns	khan.graph-a-2-variable-relationship	khan	prerequisite
khan.identifying-points	khan.patterns	khan	prerequisite
khan.identifying-points	khan.identify-coordinates	khan	prerequisite
khan.subtracting-decimals-without-the-standard-algorithm-5	khan.subtracting-decimals-without-the-standard-algorithm-4	khan	prerequisite
khan.adding-decimals-without-the-standard-algorithm-3	khan.adding-decimals-without-the-standard-algorithm-2	khan	prerequisite
khan.estimating-with-multiplying-decimals	khan.multiplication_3	khan	prerequisite
khan.comparing_decimals_2	khan.writing-and-interpreting-decimals	khan	prerequisite
csp.DM.CG.8	khan.rounding_whole_numbers	khan	prerequisite
csp.DM.CG.8	khan.value-of-a-decimal-digit	khan	prerequisite
