skill_id	prereq_id	source	type	confidence
khan.perimeter-word-problems	khan.find-a-missing-side-length-when-given-perimeter	khan	prerequisite	1.00
khan.creating-line-plots-2	khan.creating-picture-and-bar-graphs-2	khan	prerequisite	1.00
khan.multiplying-by-10	khan.multiplication_0.5	khan	prerequisite	1.00
khan.dividing-whole-numbers-by-10	khan.division_1	khan	prerequisite	1.00
khan.measurement-units	khan.estimating-mass--ounces-and-pounds-	khan	prerequisite	1.00
khan.number_line	khan.multiplication_0.5	khan	prerequisite	1.00
assistments.48	khan.comparing_fractions_1	khan	prerequisite	1.00
khan.understanding-whole-number-representations	khan.place_value	khan	prerequisite	1.00
khan.multiplying-and-dividing-by-10	khan.place_value	khan	prerequisite	1.00
khan.multiplying-and-dividing-by-10	khan.multiplying-by-10	khan	prerequisite	1.00
khan.multiplying-and-dividing-by-10	khan.dividing-whole-numbers-by-10	khan	prerequisite	1.00
khan.quotients-that-are-multiples-of-10	khan.dividing-whole-numbers-by-10	khan	prerequisite	1.00
khan.quotients-that-are-multiples-of-10	khan.division_1	khan	prerequisite	1.00
khan.measurement-units	khan.estimating-mass	khan	prerequisite	1.00
khan.place-value-blocks	khan.place_value	khan	prerequisite	1.00
khan.creating-largest-or-smallest-number	khan.place_value	khan	prerequisite	1.00
khan.division_1.5	khan.quotients-that-are-multiples-of-10	khan	prerequisite	1.00
khan.equivalent_fractions_2	assistments.48	khan	prerequisite	1.00
khan.different-wholes	assistments.48	khan	prerequisite	1.00
khan.visually-comparing-fractions	assistments.48	khan	prerequisite	1.00
khan.comparing-multi-digit-numbers	khan.place_value	khan	prerequisite	1.00
khan.zeros-in-the-dividend-no-remainders	khan.division_1	khan	prerequisite	1.00
khan.zeros-in-the-dividend-no-remainders	khan.quotients-that-are-multiples-of-10	khan	prerequisite	1.00
khan.zeros-in-the-dividend-no-remainders	khan.division_1.5	khan	prerequisite	1.00
khan.zeros-in-the-quotient-no-remainders	khan.division_1	khan	prerequisite	1.00
khan.zeros-in-the-quotient-no-remainders	khan.quotients-that-are-multiples-of-10	khan	prerequisite	1.00
khan.zeros-in-the-quotient-no-remainders	khan.division_1.5	khan	prerequisite	1.00
khan.adding_fractions_with_common_denominators	assistments.48	khan	prerequisite	1.00
khan.comparing-multi-digit-numbers-pv-challenge	khan.numbers-in-written-form	khan	prerequisite	1.00
khan.comparing-multi-digit-numbers-pv-challenge	khan.comparing-multi-digit-numbers	khan	prerequisite	1.00
khan.multiplying-by-4-digit-numbers-with-visual-models	khan.multiplication_0.5	khan	prerequisite	1.00
khan.division_1.5	khan.division_1	khan	prerequisite	1.00
khan.division_1.5	khan.relate-division-to-multiplication	khan	prerequisite	1.00
khan.equivalent-fractions-with-denominators-of-10-and-100-intuition	assistments.48	khan	prerequisite	1.00
khan.multiplying-fractions-and-whole-numbers-intuition	khan.adding_fractions_with_common_denominators	khan	prerequisite	1.00
khan.area_of_squares_and_rectangles	khan.finding-area-by-multiplying	khan	prerequisite	1.00
khan.angles-in-circles	khan.measuring_angles	khan	prerequisite	1.00
khan.angle_types	khan.measuring_angles	khan	prerequisite	1.00
khan.drawing-angles	khan.measuring_angles	khan	prerequisite	1.00
khan.rounding_whole_numbers	khan.rounding-to-the-nearest-ten-or-hundred	khan	prerequisite	1.00
khan.multiplying-2-digit-numbers-with-area-models	khan.multiplying-by-4-digit-numbers-with-visual-models	khan	prerequisite	1.00
khan.division_2	khan.division_1.5	khan	prerequisite	1.00
khan.division-using-place-value-understanding	khan.division_1.5	khan	prerequisite	1.00
khan.multiplying-unit-fractions-and-whole-numbers	khan.multiplying-fractions-and-whole-numbers-intuition	khan	prerequisite	1.00
khan.area-and-perimeter-of-rectangles-word-problems	khan.area_of_squares_and_rectangles	khan	prerequisite	1.00
khan.area-and-perimeter-of-rectangles-word-problems	khan.perimeter-2	khan	prerequisite	1.00
khan.benchmark-angles	khan.angle_types	khan	prerequisite	1.00
khan.drawing-lines-of-symmetry-and-symmetrical-figures	khan.axis_of_symmetry	khan	prerequisite	1.00
khan.rounding-whole-numbers-2	khan.rounding_whole_numbers	khan	prerequisite	1.00
khan.multiplication_3	khan.multiplying-2-digit-numbers-with-area-models	khan	prerequisite	1.00
khan.decompose-fractions-with-denominators-of-100	assistments.48	khan	prerequisite	1.00
khan.adding_fractions_0.5	khan.adding_fractions_with_common_denominators	khan	prerequisite	1.00
khan.adding_fractions_0.5	assistments.48	khan	prerequisite	1.00
khan.subtracting_fractions_with_common_denominators	khan.adding_fractions_with_common_denominators	khan	prerequisite	1.00
khan.understanding-multiplying-fractions-and-whole-numbers	khan.multiplying-unit-fractions-and-whole-numbers	khan	prerequisite	1.00
khan.identifying-triangles-by-angles	khan.angle_types	khan	prerequisite	1.00
khan.multi-step-word-problems-with-whole-numbers	khan.division_1.5	khan	prerequisite	1.00
khan.multi-step-word-problems-with-whole-numbers	khan.multiplication_3	khan	prerequisite	1.00
khan.multi-step-word-problems-with-whole-numbers	khan.rounding_whole_numbers	khan	prerequisite	1.00
khan.comparing-with-multiplication	khan.two-step-word-problems-with-addition--subtraction--multiplication--and-division	khan	prerequisite	1.00
khan.arithmetic_word_problems	khan.two-step-word-problems-with-addition--subtraction--multiplication--and-division	khan	prerequisite	1.00
khan.math-patterns	khan.patterns	khan	prerequisite	1.00
khan.math-patterns	khan.division_2	khan	prerequisite	1.00
khan.decimal-intuition-with-grids	khan.equivalent-fractions-with-denominators-of-10-and-100-intuition	khan	prerequisite	1.00
khan.decomposing-fractions	khan.adding_fractions_with_common_denominators	khan	prerequisite	1.00
khan.decomposing-fractions	khan.subtracting_fractions_with_common_denominators	khan	prerequisite	1.00
khan.unit-sense	khan.measuring-time-word-problems	khan	prerequisite	1.00
khan.multiplicative-comparison-word-problems	khan.comparing-with-multiplication	khan	prerequisite	1.00
khan.decimals-in-words	khan.decimal-intuition-with-grids	khan	prerequisite	1.00
khan.decimals_on_the_number_line_1	khan.decimals-on-the-number-line-1	khan	prerequisite	1.00
khan.adding-and-subtracting-fractions-with-like-denominators-word-problems	khan.adding_fractions_with_common_denominators	khan	prerequisite	1.00
khan.adding-and-subtracting-fractions-with-like-denominators-word-problems	khan.subtracting_fractions_with_common_denominators	khan	prerequisite	1.00
khan.factor-pairs	khan.division_1	khan	prerequisite	1.00
khan.decimals_on_the_number_line_2	khan.decimals_on_the_number_line_1	khan	prerequisite	1.00
khan.decimals_on_the_number_line_2	khan.decimals-on-the-number-line--hundredths-0-1	khan	prerequisite	1.00
khan.comparing_fractions_2	assistments.48	khan	prerequisite	1.00
khan.common-denominators	assistments.48	khan	prerequisite	1.00
khan.adding_subtracting_mixed_numbers_0.5	khan.subtracting_fractions_with_common_denominators	khan	prerequisite	1.00
khan.measurement-units	khan.unit-sense	khan	prerequisite	1.00
khan.classifying-shapes-by-line-and-angle-types	khan.recognizing-triangles	khan	prerequisite	1.00
khan.classifying-shapes-by-line-and-angle-types	khan.identifying-triangles-by-angles	khan	prerequisite	1.00
khan.identifying-factors-and-multiples	khan.factor-pairs	khan	prerequisite	1.00
khan.fraction-decimal-intuition	khan.decimals_on_the_number_line_2	khan	prerequisite	1.00
khan.fraction-decimal-intuition	khan.decimals-in-words	khan	prerequisite	1.00
khan.decimals-greater-than-one-intuition	khan.decimals_on_the_number_line_2	khan	prerequisite	1.00
khan.decimals-greater-than-one-intuition	khan.decimals-in-words	khan	prerequisite	1.00
khan.comparing_improper_fractions_and_mixed_numbers	khan.comparing_fractions_2	khan	prerequisite	1.00
khan.measuring-and-converting-money-word-problems	khan.measurement-units	khan	prerequisite	1.00
khan.converting_fractions_to_decimals_0.5	khan.fraction-decimal-intuition	khan	prerequisite	1.00
khan.converting_decimals_to_fractions_1	khan.fraction-decimal-intuition	khan	prerequisite	1.00
khan.ordering_fractions	khan.comparing_fractions_2	khan	prerequisite	1.00
khan.quadrilateral_types	khan.classifying-shapes-by-line-and-angle-types	khan	prerequisite	1.00
khan.quadrilateral_types	khan.categorize-quadrilaterals	khan	prerequisite	1.00
khan.identifying-decimal-place-values	khan.understanding-whole-number-representations	khan	prerequisite	1.00
khan.comparing-decimals-visually	khan.converting_fractions_to_decimals_0.5	khan	prerequisite	1.00
khan.converting_decimals_to_fractions_2	khan.converting_decimals_to_fractions_1	khan	prerequisite	1.00
khan.subtracting-decimals-without-the-standard-algorithm-1	khan.estimating-with-subtracting-decimals	khan	prerequisite	1.00
khan.powers-of-ten	khan.multiplying-by-10	khan	prerequisite	1.00
khan.fractions_as_division_by_a_multiple_of_10	khan.converting_fractions_to_decimals_0.5	khan	prerequisite	1.00
khan.comparing_decimals_1	khan.comparing-decimals-visually	khan	prerequisite	1.00
khan.common-fractions-and-decimals	khan.converting_decimals_to_fractions_2	khan	prerequisite	1.00
khan.common-fractions-and-decimals	khan.converting_fractions_to_decimals_0.5	khan	prerequisite	1.00
khan.understanding-multiplying-fractions-and-whole-numbers-2	khan.understanding-multiplying-fractions-and-whole-numbers	khan	prerequisite	1.00
khan.subtracting-decimals-without-the-standard-algorithm-2	khan.subtracting-decimals-without-the-standard-algorithm-1	khan	prerequisite	1.00
khan.estimating-with-adding-decimals	khan.add-within-1000--level-1	khan	prerequisite	1.00
khan.decimals-in-written-form	khan.identifying-decimal-place-values	khan	prerequisite	1.00
khan.value-of-a-decimal-digit	khan.identifying-decimal-place-values	khan	prerequisite	1.00
khan.cc-4th-comparing-decimals-and-fractions	khan.comparing_decimals_1	khan	prerequisite	1.00
khan.graphing_points	khan.math-patterns	khan	prerequisite	1.00
khan.subtracting_fractions	khan.subtracting_fractions_with_common_denominators	khan	prerequisite	1.00
khan.subtracting_fractions	khan.common-denominators	khan	prerequisite	1.00
khan.using-visuals-to-add-and-subtract-fractions-with-unlike-denominators-	khan.common-denominators	khan	prerequisite	1.00
khan.adding_fractions	khan.adding_fractions_with_common_denominators	khan	prerequisite	1.00
khan.adding_fractions	khan.common-denominators	khan	prerequisite	1.00
khan.volume-formula-intuition	khan.decompose-shapes-to-find-area	khan	prerequisite	1.00
khan.subtracting-decimals-without-the-standard-algorithm-3	khan.subtracting-decimals-without-the-standard-algorithm-2	khan	prerequisite	1.00
khan.adding-decimals-without-the-standard-algorithm-1	khan.add-within-1000--level-1	khan	prerequisite	1.00
khan.comparing-decimal-place-value	khan.value-of-a-decimal-digit	khan	prerequisite	1.00
khan.regrouping-whole-numbers	khan.value-of-a-decimal-digit	khan	prerequisite	1.00
khan.identify-coordinates	khan.graphing_points	khan	prerequisite	1.00
khan.adding-and-subtracting-fractions-with-unlike-denominators	khan.adding_fractions	khan	prerequisite	1.00
khan.adding-and-subtracting-fractions-with-unlike-denominators	khan.subtracting_fractions	khan	prerequisite	1.00
khan.adding_subtracting_mixed_numbers_1	khan.adding_subtracting_mixed_numbers_0.5	khan	prerequisite	1.00
khan.adding_subtracting_mixed_numbers_1	khan.adding_fractions	khan	prerequisite	1.00
khan.adding_subtracting_mixed_numbers_1	khan.subtracting_fractions	khan	prerequisite	1.00
khan.adding-and-subtracting-fractions-with-like-denominators-word-problems	khan.adding_fractions	khan	prerequisite	1.00
khan.adding-and-subtracting-fractions-with-like-denominators-word-problems	khan.subtracting_fractions	khan	prerequisite	1.00
khan.properties-of-shapes	khan.quadrilateral_types	khan	prerequisite	1.00
khan.subtracting-decimals-without-the-standard-algorithm-4	khan.subtracting-decimals-without-the-standard-algorithm-3	khan	prerequisite	1.00
khan.adding-decimals-without-the-standard-algorithm-2	khan.adding-decimals-without-the-standard-algorithm-1	khan	prerequisite	1.00
khan.multiplying-and-dividing-decimals-by-10	khan.multiplying-and-dividing-by-10	khan	prerequisite	1.00
khan.multiplying-and-dividing-decimals-by-10	khan.value-of-a-decimal-digit	khan	prerequisite	1.00
